Active Voters,Total Ballots,Contest Name,Choice Name,Total Votes,Party,Precinct Name
417,223,City of Boulder Council Candidates,Jared Kaszuba,16,,2181007800
417,223,City of Boulder Council Candidates,Lisa Morzel,59,,2181007800
417,223,City of Boulder Council Candidates,Leonard May,36,,2181007800
417,223,City of Boulder Council Candidates,Edward Jabari,14,,2181007800
417,223,City of Boulder Council Candidates,Cha Cha Spinrad,9,,2181007800
417,223,City of Boulder Council Candidates,Bob Yates,93,,2181007800
417,223,City of Boulder Council Candidates,Aaron Brockett,69,,2181007800
417,223,City of Boulder Council Candidates,Julianne McCabe,48,,2181007800
417,223,City of Boulder Council Candidates,Bill Rigler,32,,2181007800
417,223,City of Boulder Council Candidates,Tim Plass,60,,2181007800
417,223,City of Boulder Council Candidates,Cindy Carlisle,47,,2181007800
417,223,City of Boulder Council Candidates,Suzanne Jones,52,,2181007800
417,223,City of Boulder Council Candidates,Michael Kruteck,88,,2181007800
417,223,City of Boulder Council Candidates,Comrade Keith Percy,6,,2181007800
417,223,City of Boulder Council Candidates,Jyotsna Raj,24,,2181007800
417,223,City of Boulder Council Candidates,Jan Burton,89,,2181007800
417,223,City of Boulder Council Candidates,Don Cote,55,,2181007800
445,183,City of Boulder Council Candidates,Jared Kaszuba,14,,2181007801
445,183,City of Boulder Council Candidates,Lisa Morzel,54,,2181007801
445,183,City of Boulder Council Candidates,Leonard May,34,,2181007801
445,183,City of Boulder Council Candidates,Edward Jabari,25,,2181007801
445,183,City of Boulder Council Candidates,Cha Cha Spinrad,6,,2181007801
445,183,City of Boulder Council Candidates,Bob Yates,67,,2181007801
445,183,City of Boulder Council Candidates,Aaron Brockett,50,,2181007801
445,183,City of Boulder Council Candidates,Julianne McCabe,26,,2181007801
445,183,City of Boulder Council Candidates,Bill Rigler,45,,2181007801
445,183,City of Boulder Council Candidates,Tim Plass,44,,2181007801
445,183,City of Boulder Council Candidates,Cindy Carlisle,53,,2181007801
445,183,City of Boulder Council Candidates,Suzanne Jones,58,,2181007801
445,183,City of Boulder Council Candidates,Michael Kruteck,64,,2181007801
445,183,City of Boulder Council Candidates,Comrade Keith Percy,6,,2181007801
445,183,City of Boulder Council Candidates,Jyotsna Raj,34,,2181007801
445,183,City of Boulder Council Candidates,Jan Burton,48,,2181007801
445,183,City of Boulder Council Candidates,Don Cote,42,,2181007801
255,113,City of Boulder Council Candidates,Jared Kaszuba,13,,2181007802
255,113,City of Boulder Council Candidates,Lisa Morzel,41,,2181007802
255,113,City of Boulder Council Candidates,Leonard May,29,,2181007802
255,113,City of Boulder Council Candidates,Edward Jabari,10,,2181007802
255,113,City of Boulder Council Candidates,Cha Cha Spinrad,5,,2181007802
255,113,City of Boulder Council Candidates,Bob Yates,37,,2181007802
255,113,City of Boulder Council Candidates,Aaron Brockett,24,,2181007802
255,113,City of Boulder Council Candidates,Julianne McCabe,12,,2181007802
255,113,City of Boulder Council Candidates,Bill Rigler,22,,2181007802
255,113,City of Boulder Council Candidates,Tim Plass,24,,2181007802
255,113,City of Boulder Council Candidates,Cindy Carlisle,52,,2181007802
255,113,City of Boulder Council Candidates,Suzanne Jones,34,,2181007802
255,113,City of Boulder Council Candidates,Michael Kruteck,31,,2181007802
255,113,City of Boulder Council Candidates,Comrade Keith Percy,6,,2181007802
255,113,City of Boulder Council Candidates,Jyotsna Raj,29,,2181007802
255,113,City of Boulder Council Candidates,Jan Burton,24,,2181007802
255,113,City of Boulder Council Candidates,Don Cote,23,,2181007802
255,207,City of Boulder Council Candidates,Jared Kaszuba,6,,2181007804
255,207,City of Boulder Council Candidates,Lisa Morzel,78,,2181007804
255,207,City of Boulder Council Candidates,Leonard May,49,,2181007804
255,207,City of Boulder Council Candidates,Edward Jabari,10,,2181007804
255,207,City of Boulder Council Candidates,Cha Cha Spinrad,7,,2181007804
255,207,City of Boulder Council Candidates,Bob Yates,87,,2181007804
255,207,City of Boulder Council Candidates,Aaron Brockett,67,,2181007804
255,207,City of Boulder Council Candidates,Julianne McCabe,31,,2181007804
255,207,City of Boulder Council Candidates,Bill Rigler,40,,2181007804
255,207,City of Boulder Council Candidates,Tim Plass,51,,2181007804
