Precinct Name,Active Voters,Total Ballots,Contest Name,Choice Name,Party,Total Votes
2181007800,427,230,City of Boulder Council Candidates,Bill Rigler,,73
2181007801,640,209,City of Boulder Council Candidates,Bill Rigler,,43
2181007802,441,140,City of Boulder Council Candidates,Bill Rigler,,22
2181007804,363,201,City of Boulder Council Candidates,Bill Rigler,,46
2181007806,1229,592,City of Boulder Council Candidates,Bill Rigler,,233
2181007807,1105,646,City of Boulder Council Candidates,Bill Rigler,,174
2181007808,1975,816,City of Boulder Council Candidates,Bill Rigler,,287
2181007809,1031,612,City of Boulder Council Candidates,Bill Rigler,,230
2181007810,911,503,City of Boulder Council Candidates,Bill Rigler,,156
2181007811,765,400,City of Boulder Council Candidates,Bill Rigler,,160
2181007812,698,338,City of Boulder Council Candidates,Bill Rigler,,89
2181007813,413,164,City of Boulder Council Candidates,Bill Rigler,,19
2181007814,1077,550,City of Boulder Council Candidates,Bill Rigler,,151
2181007815,832,289,City of Boulder Council Candidates,Bill Rigler,,96
2181007816,1112,489,City of Boulder Council Candidates,Bill Rigler,,154
2181007817,810,517,City of Boulder Council Candidates,Bill Rigler,,166
2181007818,1050,602,City of Boulder Council Candidates,Bill Rigler,,175
2181007819,901,504,City of Boulder Council Candidates,Bill Rigler,,117
2181007820,686,408,City of Boulder Council Candidates,Bill Rigler,,122
2181007821,1085,496,City of Boulder Council Candidates,Bill Rigler,,134
2181007822,978,304,City of Boulder Council Candidates,Bill Rigler,,61
2181007823,1887,596,City of Boulder Council Candidates,Bill Rigler,,197
2181007824,1085,536,City of Boulder Council Candidates,Bill Rigler,,150
2181007825,633,371,City of Boulder Council Candidates,Bill Rigler,,101
2181007826,825,460,City of Boulder Council Candidates,Bill Rigler,,142
2181007827,910,388,City of Boulder Council Candidates,Bill Rigler,,102
2181007828,704,267,City of Boulder Council Candidates,Bill Rigler,,68
2181007829,794,249,City of Boulder Council Candidates,Bill Rigler,,64
2181007830,775,176,City of Boulder Council Candidates,Bill Rigler,,22
2181007831,848,232,City of Boulder Council Candidates,Bill Rigler,,60
2181007832,331,142,City of Boulder Council Candidates,Bill Rigler,,55
2181007833,785,140,City of Boulder Council Candidates,Bill Rigler,,28
2181007834,1422,141,City of Boulder Council Candidates,Bill Rigler,,13
2181007835,721,129,City of Boulder Council Candidates,Bill Rigler,,25
2181007836,528,194,City of Boulder Council Candidates,Bill Rigler,,46
2181007837,937,212,City of Boulder Council Candidates,Bill Rigler,,51
2181007838,472,107,City of Boulder Council Candidates,Bill Rigler,,19
2181007839,635,386,City of Boulder Council Candidates,Bill Rigler,,97
2181007840,597,299,City of Boulder Council Candidates,Bill Rigler,,86
2181007841,664,352,City of Boulder Council Candidates,Bill Rigler,,104
2181007842,1012,622,City of Boulder Council Candidates,Bill Rigler,,150
2181007843,1246,763,City of Boulder Council Candidates,Bill Rigler,,189
2181007844,759,363,City of Boulder Council Candidates,Bill Rigler,,83
2181007845,847,334,City of Boulder Council Candidates,Bill Rigler,,71
2181007846,1321,324,City of Boulder Council Candidates,Bill Rigler,,61
2181007847,773,139,City of Boulder Council Candidates,Bill Rigler,,21
2181007848,652,247,City of Boulder Council Candidates,Bill Rigler,,74
2181007849,1090,101,City of Boulder Council Candidates,Bill Rigler,,13
2181007850,664,426,City of Boulder Council Candidates,Bill Rigler,,129
2181007851,1013,562,City of Boulder Council Candidates,Bill Rigler,,242
2181007852,1081,494,City of Boulder Council Candidates,Bill Rigler,,88
2181007853,790,269,City of Boulder Council Candidates,Bill Rigler,,94
2181307854,992,353,City of Boulder Council Candidates,Bill Rigler,,77
2181307855,864,332,City of Boulder Council Candidates,Bill Rigler,,78
2181307856,597,306,City of Boulder Council Candidates,Bill Rigler,,63
2181307857,873,470,City of Boulder Council Candidates,Bill Rigler,,126
2181307858,931,548,City of Boulder Council Candidates,Bill Rigler,,131
2181307859,858,508,City of Boulder Council Candidates,Bill Rigler,,140
2181307860,651,417,City of Boulder Council Candidates,Bill Rigler,,121
2181307861,624,353,City of Boulder Council Candidates,Bill Rigler,,84
2181307862,669,382,City of Boulder Council Candidates,Bill Rigler,,101
2181307863,795,487,City of Boulder Council Candidates,Bill Rigler,,135
2181307864,661,419,City of Boulder Council Candidates,Bill Rigler,,100
2181307865,676,289,City of Boulder Council Candidates,Bill Rigler,,78
2181307866,854,442,City of Boulder Council Candidates,Bill Rigler,,78
2181307867,812,368,City of Boulder Council Candidates,Bill Rigler,,90
2181307868,884,599,City of Boulder Council Candidates,Bill Rigler,,159
2181307869,598,334,City of Boulder Council Candidates,Bill Rigler,,84
2181307870,756,258,City of Boulder Council Candidates,Bill Rigler,,54
2181307871,797,377,City of Boulder Council Candidates,Bill Rigler,,77
2181307872,909,155,City of Boulder Council Candidates,Bill Rigler,,26
2181307873,486,296,City of Boulder Council Candidates,Bill Rigler,,85
2181307874,1060,548,City of Boulder Council Candidates,Bill Rigler,,186
2181307875,682,109,City of Boulder Council Candidates,Bill Rigler,,21
2181307876,764,52,City of Boulder Council Candidates,Bill Rigler,,12
2181307877,723,337,City of Boulder Council Candidates,Bill Rigler,,104
2181307878,649,227,City of Boulder Council Candidates,Bill Rigler,,47
2181307879,741,232,City of Boulder Council Candidates,Bill Rigler,,51
2181307880,1011,114,City of Boulder Council Candidates,Bill Rigler,,26
2181307881,684,305,City of Boulder Council Candidates,Bill Rigler,,71
2181307882,647,387,City of Boulder Council Candidates,Bill Rigler,,115
2181307883,800,432,City of Boulder Council Candidates,Bill Rigler,,134
2181307884,933,371,City of Boulder Council Candidates,Bill Rigler,,104
2181307885,609,318,City of Boulder Council Candidates,Bill Rigler,,116
2181307886,818,469,City of Boulder Council Candidates,Bill Rigler,,162
2181307887,1007,611,City of Boulder Council Candidates,Bill Rigler,,181
2181307888,829,529,City of Boulder Council Candidates,Bill Rigler,,172
2181007800,427,230,City of Boulder Council Candidates,Mark McIntyre,,73
2181007801,640,209,City of Boulder Council Candidates,Mark McIntyre,,66
2181007802,441,140,City of Boulder Council Candidates,Mark McIntyre,,18
2181007804,363,201,City of Boulder Council Candidates,Mark McIntyre,,73
2181007806,1229,592,City of Boulder Council Candidates,Mark McIntyre,,227
2181007807,1105,646,City of Boulder Council Candidates,Mark McIntyre,,231
2181007808,1975,816,City of Boulder Council Candidates,Mark McIntyre,,302
2181007809,1031,612,City of Boulder Council Candidates,Mark McIntyre,,229
2181007810,911,503,City of Boulder Council Candidates,Mark McIntyre,,176
2181007811,765,400,City of Boulder Council Candidates,Mark McIntyre,,155
2181007812,698,338,City of Boulder Council Candidates,Mark McIntyre,,104
2181007813,413,164,City of Boulder Council Candidates,Mark McIntyre,,20
2181007814,1077,550,City of Boulder Council Candidates,Mark McIntyre,,184
2181007815,832,289,City of Boulder Council Candidates,Mark McIntyre,,93
2181007816,1112,489,City of Boulder Council Candidates,Mark McIntyre,,163
2181007817,810,517,City of Boulder Council Candidates,Mark McIntyre,,195
2181007818,1050,602,City of Boulder Council Candidates,Mark McIntyre,,273
2181007819,901,504,City of Boulder Council Candidates,Mark McIntyre,,183
2181007820,686,408,City of Boulder Council Candidates,Mark McIntyre,,138
2181007821,1085,496,City of Boulder Council Candidates,Mark McIntyre,,141
2181007822,978,304,City of Boulder Council Candidates,Mark McIntyre,,75
2181007823,1887,596,City of Boulder Council Candidates,Mark McIntyre,,204
2181007824,1085,536,City of Boulder Council Candidates,Mark McIntyre,,167
2181007825,633,371,City of Boulder Council Candidates,Mark McIntyre,,115
2181007826,825,460,City of Boulder Council Candidates,Mark McIntyre,,148
2181007827,910,388,City of Boulder Council Candidates,Mark McIntyre,,130
2181007828,704,267,City of Boulder Council Candidates,Mark McIntyre,,75
2181007829,794,249,City of Boulder Council Candidates,Mark McIntyre,,62
2181007830,775,176,City of Boulder Council Candidates,Mark McIntyre,,33
2181007831,848,232,City of Boulder Council Candidates,Mark McIntyre,,71
2181007832,331,142,City of Boulder Council Candidates,Mark McIntyre,,67
2181007833,785,140,City of Boulder Council Candidates,Mark McIntyre,,37
2181007834,1422,141,City of Boulder Council Candidates,Mark McIntyre,,19
2181007835,721,129,City of Boulder Council Candidates,Mark McIntyre,,28
2181007836,528,194,City of Boulder Council Candidates,Mark McIntyre,,49
2181007837,937,212,City of Boulder Council Candidates,Mark McIntyre,,46
2181007838,472,107,City of Boulder Council Candidates,Mark McIntyre,,25
2181007839,635,386,City of Boulder Council Candidates,Mark McIntyre,,128
2181007840,597,299,City of Boulder Council Candidates,Mark McIntyre,,108
2181007841,664,352,City of Boulder Council Candidates,Mark McIntyre,,142
2181007842,1012,622,City of Boulder Council Candidates,Mark McIntyre,,179
2181007843,1246,763,City of Boulder Council Candidates,Mark McIntyre,,230
2181007844,759,363,City of Boulder Council Candidates,Mark McIntyre,,112
2181007845,847,334,City of Boulder Council Candidates,Mark McIntyre,,88
2181007846,1321,324,City of Boulder Council Candidates,Mark McIntyre,,73
2181007847,773,139,City of Boulder Council Candidates,Mark McIntyre,,30
2181007848,652,247,City of Boulder Council Candidates,Mark McIntyre,,80
2181007849,1090,101,City of Boulder Council Candidates,Mark McIntyre,,15
2181007850,664,426,City of Boulder Council Candidates,Mark McIntyre,,134
2181007851,1013,562,City of Boulder Council Candidates,Mark McIntyre,,188
2181007852,1081,494,City of Boulder Council Candidates,Mark McIntyre,,109
2181007853,790,269,City of Boulder Council Candidates,Mark McIntyre,,84
2181307854,992,353,City of Boulder Council Candidates,Mark McIntyre,,106
2181307855,864,332,City of Boulder Council Candidates,Mark McIntyre,,87
2181307856,597,306,City of Boulder Council Candidates,Mark McIntyre,,93
2181307857,873,470,City of Boulder Council Candidates,Mark McIntyre,,133
2181307858,931,548,City of Boulder Council Candidates,Mark McIntyre,,153
2181307859,858,508,City of Boulder Council Candidates,Mark McIntyre,,164
2181307860,651,417,City of Boulder Council Candidates,Mark McIntyre,,143
2181307861,624,353,City of Boulder Council Candidates,Mark McIntyre,,123
2181307862,669,382,City of Boulder Council Candidates,Mark McIntyre,,134
2181307863,795,487,City of Boulder Council Candidates,Mark McIntyre,,164
2181307864,661,419,City of Boulder Council Candidates,Mark McIntyre,,138
2181307865,676,289,City of Boulder Council Candidates,Mark McIntyre,,89
2181307866,854,442,City of Boulder Council Candidates,Mark McIntyre,,111
2181307867,812,368,City of Boulder Council Candidates,Mark McIntyre,,118
2181307868,884,599,City of Boulder Council Candidates,Mark McIntyre,,200
2181307869,598,334,City of Boulder Council Candidates,Mark McIntyre,,123
2181307870,756,258,City of Boulder Council Candidates,Mark McIntyre,,69
2181307871,797,377,City of Boulder Council Candidates,Mark McIntyre,,97
2181307872,909,155,City of Boulder Council Candidates,Mark McIntyre,,41
2181307873,486,296,City of Boulder Council Candidates,Mark McIntyre,,119
2181307874,1060,548,City of Boulder Council Candidates,Mark McIntyre,,245
2181307875,682,109,City of Boulder Council Candidates,Mark McIntyre,,21
2181307876,764,52,City of Boulder Council Candidates,Mark McIntyre,,15
2181307877,723,337,City of Boulder Council Candidates,Mark McIntyre,,140
2181307878,649,227,City of Boulder Council Candidates,Mark McIntyre,,67
2181307879,741,232,City of Boulder Council Candidates,Mark McIntyre,,78
2181307880,1011,114,City of Boulder Council Candidates,Mark McIntyre,,25
2181307881,684,305,City of Boulder Council Candidates,Mark McIntyre,,89
2181307882,647,387,City of Boulder Council Candidates,Mark McIntyre,,150
2181307883,800,432,City of Boulder Council Candidates,Mark McIntyre,,141
2181307884,933,371,City of Boulder Council Candidates,Mark McIntyre,,144
2181307885,609,318,City of Boulder Council Candidates,Mark McIntyre,,117
2181307886,818,469,City of Boulder Council Candidates,Mark McIntyre,,203
2181307887,1007,611,City of Boulder Council Candidates,Mark McIntyre,,239
2181307888,829,529,City of Boulder Council Candidates,Mark McIntyre,,199
2181007800,427,230,City of Boulder Council Candidates,Eric Budd,,58
2181007801,640,209,City of Boulder Council Candidates,Eric Budd,,54
2181007802,441,140,City of Boulder Council Candidates,Eric Budd,,22
2181007804,363,201,City of Boulder Council Candidates,Eric Budd,,38
2181007806,1229,592,City of Boulder Council Candidates,Eric Budd,,166
2181007807,1105,646,City of Boulder Council Candidates,Eric Budd,,164
