election_year,election_date,election_type,data_source,jurisdiction_level,jurisdiction_name,precinct_id,precinct_name,contest,contest_type,candidate_or_option,party,votes,active_voters,ballots_cast
2017,2017-11-07,coordinated,boulder_county,county,Boulder County,2181007800,800,City of Boulder Council Candidates,candidate,Bill Rigler,,73,427,230
2017,2017-11-07,coordinated,boulder_county,county,Boulder County,2181007801,801,City of Boulder Council Candidates,candidate,Bill Rigler,,43,640,209
2017,2017-11-07,coordinated,boulder_county,county,Boulder County,2181007802,802,City of Boulder Council Candidates,candidate,Bill Rigler,,22,441,140
2017,2017-11-07,coordinated,boulder_county,county,Boulder County,2181007804,804,City of Boulder Council Candidates,candidate,Bill Rigler,,46,363,201
2017,2017-11-07,coordinated,boulder_county,county,Boulder County,2181007806,806,City of Boulder Council Candidates,candidate,Bill Rigler,,233,1229,592
2017,2017-11-07,coordinated,boulder_county,county,Boulder County,2181007807,807,City of Boulder Council Candidates,candidate,Bill Rigler,,174,1105,646
2017,2017-11-07,coordinated,boulder_county,county,Boulder County,2181007808,808,City of Boulder Council Candidates,candidate,Bill Rigler,,287,1975,816
2017,2017-11-07,coordinated,boulder_county,county,Boulder County,2181007809,809,City of Boulder Council Candidates,candidate,Bill Rigler,,230,1031,612
2017,2017-11-07,coordinated,boulder_county,county,Boulder County,2181007810,810,City of Boulder Council Candidates,candidate,Bill Rigler,,156,911,503
2017,2017-11-07,coordinated,boulder_county,county,Boulder County,2181007811,811,City of Boulder Council Candidates,candidate,Bill Rigler,,160,765,400
2017,2017-11-07,coordinated,boulder_county,county,Boulder County,2181007812,812,City of Boulder Council Candidates,candidate,Bill Rigler,,89,698,338
2017,2017-11-07,coordinated,boulder_county,county,Boulder County,2181007813,813,City of Boulder Council Candidates,candidate,Bill Rigler,,19,413,164
2017,2017-11-07,coordinated,boulder_county,county,Boulder County,2181007814,814,City of Boulder Council Candidates,candidate,Bill Rigler,,151,1077,550
2017,2017-11-07,coordinated,boulder_county,county,Boulder County,2181007815,815,City of Boulder Council Candidates,candidate,Bill Rigler,,96,832,289
2017,2017-11-07,coordinated,boulder_county,county,Boulder County,2181007816,816,City of Boulder Council Candidates,candidate,Bill Rigler,,154,1112,489
2017,2017-11-07,coordinated,boulder_county,county,Boulder County,2181007817,817,City of Boulder Council Candidates,candidate,Bill Rigler,,166,810,517
2017,2017-11-07,coordinated,boulder_county,county,Boulder County,2181007818,818,City of Boulder Council Candidates,candidate,Bill Rigler,,175,1050,602
2017,2017-11-07,coordinated,boulder_county,county,Boulder County,2181007819,819,City of Boulder Council Candidates,candidate,Bill Rigler,,117,901,504
2017,2017-11-07,coordinated,boulder_county,county,Boulder County,2181007820,820,City of Boulder Council Candidates,candidate,Bill Rigler,,122,686,408
