election_year,election_date,election_type,data_source,jurisdiction_level,jurisdiction_name,precinct_id,precinct_name,contest,contest_type,candidate_or_option,party,votes,active_voters,ballots_cast,source_file,source_url,retrieved_at,extraction_quality,extraction_notes
2025,2025-11-04,coordinated,boulder_county,county,Boulder County,2151907002,002,Boulder County Ballot Issue 1B,measure,Yes,,0.0,2.0,0.0,2025-coordinated-sov.xlsx,https://assets.bouldercounty.gov/wp-content/uploads/2025/11/2025C-Boulder-County-Official-Statement-of-Votes.xlsx,2026-05-23T17:37:17+00:00,machine_readable,"contains composite precinct IDs (multiple precincts joined, comma-separated); votes are reported for the combined unit"
2025,2025-11-04,coordinated,boulder_county,county,Boulder County,2151907002,002,Boulder County Ballot Issue 1B,measure,No,,0.0,2.0,0.0,2025-coordinated-sov.xlsx,https://assets.bouldercounty.gov/wp-content/uploads/2025/11/2025C-Boulder-County-Official-Statement-of-Votes.xlsx,2026-05-23T17:37:17+00:00,machine_readable,"contains composite precinct IDs (multiple precincts joined, comma-separated); votes are reported for the combined unit"
2025,2025-11-04,coordinated,boulder_county,county,Boulder County,2184907003,003,Boulder Valley School District RE-2 Director District B (4 Years),candidate,Nicole Rajpal,,0.0,2.0,0.0,2025-coordinated-sov.xlsx,https://assets.bouldercounty.gov/wp-content/uploads/2025/11/2025C-Boulder-County-Official-Statement-of-Votes.xlsx,2026-05-23T17:37:17+00:00,machine_readable,"contains composite precinct IDs (multiple precincts joined, comma-separated); votes are reported for the combined unit"
2025,2025-11-04,coordinated,boulder_county,county,Boulder County,2184907003,003,Boulder Valley School District RE-2 Director District E (4 Years),candidate,Jeffrey Lowe Anderson,,0.0,2.0,0.0,2025-coordinated-sov.xlsx,https://assets.bouldercounty.gov/wp-content/uploads/2025/11/2025C-Boulder-County-Official-Statement-of-Votes.xlsx,2026-05-23T17:37:17+00:00,machine_readable,"contains composite precinct IDs (multiple precincts joined, comma-separated); votes are reported for the combined unit"
2025,2025-11-04,coordinated,boulder_county,county,Boulder County,2184907003,003,Boulder Valley School District RE-2 Director District E (4 Years),candidate,Deann Bucher,,0.0,2.0,0.0,2025-coordinated-sov.xlsx,https://assets.bouldercounty.gov/wp-content/uploads/2025/11/2025C-Boulder-County-Official-Statement-of-Votes.xlsx,2026-05-23T17:37:17+00:00,machine_readable,"contains composite precinct IDs (multiple precincts joined, comma-separated); votes are reported for the combined unit"
2025,2025-11-04,coordinated,boulder_county,county,Boulder County,2184907003,003,Boulder Valley School District RE-2 Director District F (4 Years),candidate,Ana Temu Otting,,0.0,2.0,0.0,2025-coordinated-sov.xlsx,https://assets.bouldercounty.gov/wp-content/uploads/2025/11/2025C-Boulder-County-Official-Statement-of-Votes.xlsx,2026-05-23T17:37:17+00:00,machine_readable,"contains composite precinct IDs (multiple precincts joined, comma-separated); votes are reported for the combined unit"
2025,2025-11-04,coordinated,boulder_county,county,Boulder County,2184907003,003,Proposition LL (Statutory),measure,Yes,,0.0,2.0,0.0,2025-coordinated-sov.xlsx,https://assets.bouldercounty.gov/wp-content/uploads/2025/11/2025C-Boulder-County-Official-Statement-of-Votes.xlsx,2026-05-23T17:37:17+00:00,machine_readable,"contains composite precinct IDs (multiple precincts joined, comma-separated); votes are reported for the combined unit"
2025,2025-11-04,coordinated,boulder_county,county,Boulder County,2184907003,003,Proposition LL (Statutory),measure,No,,0.0,2.0,0.0,2025-coordinated-sov.xlsx,https://assets.bouldercounty.gov/wp-content/uploads/2025/11/2025C-Boulder-County-Official-Statement-of-Votes.xlsx,2026-05-23T17:37:17+00:00,machine_readable,"contains composite precinct IDs (multiple precincts joined, comma-separated); votes are reported for the combined unit"
2025,2025-11-04,coordinated,boulder_county,county,Boulder County,2184907003,003,Proposition MM (Statutory),measure,Yes,,0.0,2.0,0.0,2025-coordinated-sov.xlsx,https://assets.bouldercounty.gov/wp-content/uploads/2025/11/2025C-Boulder-County-Official-Statement-of-Votes.xlsx,2026-05-23T17:37:17+00:00,machine_readable,"contains composite precinct IDs (multiple precincts joined, comma-separated); votes are reported for the combined unit"
2025,2025-11-04,coordinated,boulder_county,county,Boulder County,2184907003,003,Proposition MM (Statutory),measure,No,,0.0,2.0,0.0,2025-coordinated-sov.xlsx,https://assets.bouldercounty.gov/wp-content/uploads/2025/11/2025C-Boulder-County-Official-Statement-of-Votes.xlsx,2026-05-23T17:37:17+00:00,machine_readable,"contains composite precinct IDs (multiple precincts joined, comma-separated); votes are reported for the combined unit"
