election_year,election_date,election_type,data_source,jurisdiction_level,jurisdiction_name,precinct_id,precinct_name,contest,contest_type,candidate_or_option,party,votes,active_voters,ballots_cast
2019,2019-11-05,coordinated,boulder_county,county,Boulder County,2181007800,800,City of Boulder Council Candidates,candidate,Brian Dolan,,94,428,266
2019,2019-11-05,coordinated,boulder_county,county,Boulder County,2181007800,800,City of Boulder Council Candidates,candidate,Rachel Friend,,97,428,266
2019,2019-11-05,coordinated,boulder_county,county,Boulder County,2181007800,800,City of Boulder Council Candidates,candidate,Junie Joseph,,103,428,266
2019,2019-11-05,coordinated,boulder_county,county,Boulder County,2181007800,800,City of Boulder Council Candidates,candidate,Mark Wallach,,95,428,266
2019,2019-11-05,coordinated,boulder_county,county,Boulder County,2181007800,800,City of Boulder Council Candidates,candidate,Benita Duran,,83,428,266
2019,2019-11-05,coordinated,boulder_county,county,Boulder County,2181007800,800,City of Boulder Council Candidates,candidate,Corina Julca,,62,428,266
2019,2019-11-05,coordinated,boulder_county,county,Boulder County,2181007800,800,City of Boulder Council Candidates,candidate,Bob Yates,,147,428,266
2019,2019-11-05,coordinated,boulder_county,county,Boulder County,2181007800,800,City of Boulder Council Candidates,candidate,Adam Swetlik,,79,428,266
2019,2019-11-05,coordinated,boulder_county,county,Boulder County,2181007800,800,City of Boulder Council Candidates,candidate,Aaron Brockett,,100,428,266
2019,2019-11-05,coordinated,boulder_county,county,Boulder County,2181007800,800,City of Boulder Council Candidates,candidate,Andy Celani,,22,428,266
2019,2019-11-05,coordinated,boulder_county,county,Boulder County,2181007800,800,City of Boulder Council Candidates,candidate,Nikki McCord,,23,428,266
2019,2019-11-05,coordinated,boulder_county,county,Boulder County,2181007800,800,City of Boulder Council Candidates,candidate,Gala Wilhelmina Orba,,13,428,266
2019,2019-11-05,coordinated,boulder_county,county,Boulder County,2181007800,800,City of Boulder Council Candidates,candidate,Paul Cure,,31,428,266
2019,2019-11-05,coordinated,boulder_county,county,Boulder County,2181007800,800,City of Boulder Council Candidates,candidate,Susan Peterson,,99,428,266
2019,2019-11-05,coordinated,boulder_county,county,Boulder County,2181007800,800,City of Boulder Council Candidates,candidate,Mark McIntyre,,94,428,266
2019,2019-11-05,coordinated,boulder_county,county,Boulder County,2181007801,801,City of Boulder Council Candidates,candidate,Brian Dolan,,71,622,289
2019,2019-11-05,coordinated,boulder_county,county,Boulder County,2181007801,801,City of Boulder Council Candidates,candidate,Rachel Friend,,142,622,289
2019,2019-11-05,coordinated,boulder_county,county,Boulder County,2181007801,801,City of Boulder Council Candidates,candidate,Junie Joseph,,155,622,289
2019,2019-11-05,coordinated,boulder_county,county,Boulder County,2181007801,801,City of Boulder Council Candidates,candidate,Mark Wallach,,83,622,289
2019,2019-11-05,coordinated,boulder_county,county,Boulder County,2181007801,801,City of Boulder Council Candidates,candidate,Benita Duran,,94,622,289
2019,2019-11-05,coordinated,boulder_county,county,Boulder County,2181007801,801,City of Boulder Council Candidates,candidate,Corina Julca,,79,622,289
