election_year,election_date,election_type,data_source,jurisdiction_level,jurisdiction_name,precinct_id,precinct_name,contest,contest_type,candidate_or_option,party,votes,active_voters,ballots_cast
2015,2015-11-03,coordinated,boulder_county,county,Boulder County,"2181007800, 2181207403","800, 403",City of Boulder Council Candidates,candidate,Jared Kaszuba,,16,417,223
2015,2015-11-03,coordinated,boulder_county,county,Boulder County,"2181007800, 2181207403","800, 403",City of Boulder Council Candidates,candidate,Lisa Morzel,,59,417,223
2015,2015-11-03,coordinated,boulder_county,county,Boulder County,"2181007800, 2181207403","800, 403",City of Boulder Council Candidates,candidate,Leonard May,,36,417,223
2015,2015-11-03,coordinated,boulder_county,county,Boulder County,"2181007800, 2181207403","800, 403",City of Boulder Council Candidates,candidate,Edward Jabari,,14,417,223
2015,2015-11-03,coordinated,boulder_county,county,Boulder County,"2181007800, 2181207403","800, 403",City of Boulder Council Candidates,candidate,Cha Cha Spinrad,,9,417,223
2015,2015-11-03,coordinated,boulder_county,county,Boulder County,"2181007800, 2181207403","800, 403",City of Boulder Council Candidates,candidate,Bob Yates,,93,417,223
2015,2015-11-03,coordinated,boulder_county,county,Boulder County,"2181007800, 2181207403","800, 403",City of Boulder Council Candidates,candidate,Aaron Brockett,,69,417,223
2015,2015-11-03,coordinated,boulder_county,county,Boulder County,"2181007800, 2181207403","800, 403",City of Boulder Council Candidates,candidate,Julianne McCabe,,48,417,223
2015,2015-11-03,coordinated,boulder_county,county,Boulder County,"2181007800, 2181207403","800, 403",City of Boulder Council Candidates,candidate,Bill Rigler,,32,417,223
2015,2015-11-03,coordinated,boulder_county,county,Boulder County,"2181007800, 2181207403","800, 403",City of Boulder Council Candidates,candidate,Tim Plass,,60,417,223
2015,2015-11-03,coordinated,boulder_county,county,Boulder County,"2181007800, 2181207403","800, 403",City of Boulder Council Candidates,candidate,Cindy Carlisle,,47,417,223
2015,2015-11-03,coordinated,boulder_county,county,Boulder County,"2181007800, 2181207403","800, 403",City of Boulder Council Candidates,candidate,Suzanne Jones,,52,417,223
2015,2015-11-03,coordinated,boulder_county,county,Boulder County,"2181007800, 2181207403","800, 403",City of Boulder Council Candidates,candidate,Michael Kruteck,,88,417,223
2015,2015-11-03,coordinated,boulder_county,county,Boulder County,"2181007800, 2181207403","800, 403",City of Boulder Council Candidates,candidate,Comrade Keith Percy,,6,417,223
2015,2015-11-03,coordinated,boulder_county,county,Boulder County,"2181007800, 2181207403","800, 403",City of Boulder Council Candidates,candidate,Jyotsna Raj,,24,417,223
2015,2015-11-03,coordinated,boulder_county,county,Boulder County,"2181007800, 2181207403","800, 403",City of Boulder Council Candidates,candidate,Jan Burton,,89,417,223
2015,2015-11-03,coordinated,boulder_county,county,Boulder County,"2181007800, 2181207403","800, 403",City of Boulder Council Candidates,candidate,Don Cote,,55,417,223
2015,2015-11-03,coordinated,boulder_county,county,Boulder County,2181007801,801,City of Boulder Council Candidates,candidate,Jared Kaszuba,,14,445,183
2015,2015-11-03,coordinated,boulder_county,county,Boulder County,2181007801,801,City of Boulder Council Candidates,candidate,Lisa Morzel,,54,445,183
2015,2015-11-03,coordinated,boulder_county,county,Boulder County,2181007801,801,City of Boulder Council Candidates,candidate,Leonard May,,34,445,183
2015,2015-11-03,coordinated,boulder_county,county,Boulder County,2181007801,801,City of Boulder Council Candidates,candidate,Edward Jabari,,25,445,183
2015,2015-11-03,coordinated,boulder_county,county,Boulder County,2181007801,801,City of Boulder Council Candidates,candidate,Cha Cha Spinrad,,6,445,183
2015,2015-11-03,coordinated,boulder_county,county,Boulder County,2181007801,801,City of Boulder Council Candidates,candidate,Bob Yates,,67,445,183
2015,2015-11-03,coordinated,boulder_county,county,Boulder County,2181007801,801,City of Boulder Council Candidates,candidate,Aaron Brockett,,50,445,183
2015,2015-11-03,coordinated,boulder_county,county,Boulder County,2181007801,801,City of Boulder Council Candidates,candidate,Julianne McCabe,,26,445,183
2015,2015-11-03,coordinated,boulder_county,county,Boulder County,2181007801,801,City of Boulder Council Candidates,candidate,Bill Rigler,,45,445,183
2015,2015-11-03,coordinated,boulder_county,county,Boulder County,2181007801,801,City of Boulder Council Candidates,candidate,Tim Plass,,44,445,183
2015,2015-11-03,coordinated,boulder_county,county,Boulder County,2181007801,801,City of Boulder Council Candidates,candidate,Cindy Carlisle,,53,445,183
2015,2015-11-03,coordinated,boulder_county,county,Boulder County,2181007801,801,City of Boulder Council Candidates,candidate,Suzanne Jones,,58,445,183
2015,2015-11-03,coordinated,boulder_county,county,Boulder County,2181007801,801,City of Boulder Council Candidates,candidate,Michael Kruteck,,64,445,183
2015,2015-11-03,coordinated,boulder_county,county,Boulder County,2181007801,801,City of Boulder Council Candidates,candidate,Comrade Keith Percy,,6,445,183
2015,2015-11-03,coordinated,boulder_county,county,Boulder County,2181007801,801,City of Boulder Council Candidates,candidate,Jyotsna Raj,,34,445,183
2015,2015-11-03,coordinated,boulder_county,county,Boulder County,2181007801,801,City of Boulder Council Candidates,candidate,Jan Burton,,48,445,183
2015,2015-11-03,coordinated,boulder_county,county,Boulder County,2181007801,801,City of Boulder Council Candidates,candidate,Don Cote,,42,445,183
2015,2015-11-03,coordinated,boulder_county,county,Boulder County,2181007802,802,City of Boulder Council Candidates,candidate,Jared Kaszuba,,13,255,113
2015,2015-11-03,coordinated,boulder_county,county,Boulder County,2181007802,802,City of Boulder Council Candidates,candidate,Lisa Morzel,,41,255,113
2015,2015-11-03,coordinated,boulder_county,county,Boulder County,2181007802,802,City of Boulder Council Candidates,candidate,Leonard May,,29,255,113
2015,2015-11-03,coordinated,boulder_county,county,Boulder County,2181007802,802,City of Boulder Council Candidates,candidate,Edward Jabari,,10,255,113
2015,2015-11-03,coordinated,boulder_county,county,Boulder County,2181007802,802,City of Boulder Council Candidates,candidate,Cha Cha Spinrad,,5,255,113
2015,2015-11-03,coordinated,boulder_county,county,Boulder County,2181007802,802,City of Boulder Council Candidates,candidate,Bob Yates,,37,255,113
