election_year,election_date,election_type,data_source,jurisdiction_level,jurisdiction_name,precinct_id,precinct_name,contest,contest_type,candidate_or_option,party,votes,active_voters,ballots_cast
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007800,800,City of Boulder Council Candidates,candidate,Michael Christy,,127,441,263
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007800,800,City of Boulder Council Candidates,candidate,Mark Wallach,,126,441,263
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007800,800,City of Boulder Council Candidates,candidate,Lauren Folkerts,,105,441,263
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007800,800,City of Boulder Council Candidates,candidate,Matt Benjamin,,118,441,263
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007800,800,City of Boulder Council Candidates,candidate,David Takahashi,,63,441,263
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007800,800,City of Boulder Council Candidates,candidate,Tara Winer,,126,441,263
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007800,800,City of Boulder Council Candidates,candidate,Nicole Speer,,114,441,263
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007800,800,City of Boulder Council Candidates,candidate,Dan Williams,,94,441,263
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007800,800,City of Boulder Council Candidates,candidate,Steve Rosenblum,,113,441,263
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007800,800,City of Boulder Council Candidates,candidate,Jacques Decalo,,21,441,263
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007801,801,City of Boulder Council Candidates,candidate,Michael Christy,,103,639,263
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007801,801,City of Boulder Council Candidates,candidate,Mark Wallach,,108,639,263
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007801,801,City of Boulder Council Candidates,candidate,Lauren Folkerts,,136,639,263
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007801,801,City of Boulder Council Candidates,candidate,Matt Benjamin,,121,639,263
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007801,801,City of Boulder Council Candidates,candidate,David Takahashi,,81,639,263
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007801,801,City of Boulder Council Candidates,candidate,Tara Winer,,110,639,263
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007801,801,City of Boulder Council Candidates,candidate,Nicole Speer,,131,639,263
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007801,801,City of Boulder Council Candidates,candidate,Dan Williams,,115,639,263
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007801,801,City of Boulder Council Candidates,candidate,Steve Rosenblum,,95,639,263
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007801,801,City of Boulder Council Candidates,candidate,Jacques Decalo,,17,639,263
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007802,802,City of Boulder Council Candidates,candidate,Michael Christy,,57,485,175
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007802,802,City of Boulder Council Candidates,candidate,Mark Wallach,,57,485,175
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007802,802,City of Boulder Council Candidates,candidate,Lauren Folkerts,,103,485,175
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007802,802,City of Boulder Council Candidates,candidate,Matt Benjamin,,97,485,175
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007802,802,City of Boulder Council Candidates,candidate,David Takahashi,,63,485,175
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007802,802,City of Boulder Council Candidates,candidate,Tara Winer,,56,485,175
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007802,802,City of Boulder Council Candidates,candidate,Nicole Speer,,98,485,175
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007802,802,City of Boulder Council Candidates,candidate,Dan Williams,,80,485,175
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007802,802,City of Boulder Council Candidates,candidate,Steve Rosenblum,,49,485,175
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007802,802,City of Boulder Council Candidates,candidate,Jacques Decalo,,11,485,175
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007804,804,City of Boulder Council Candidates,candidate,Michael Christy,,105,375,219
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007804,804,City of Boulder Council Candidates,candidate,Mark Wallach,,121,375,219
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007804,804,City of Boulder Council Candidates,candidate,Lauren Folkerts,,76,375,219
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007804,804,City of Boulder Council Candidates,candidate,Matt Benjamin,,89,375,219
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007804,804,City of Boulder Council Candidates,candidate,David Takahashi,,60,375,219
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007804,804,City of Boulder Council Candidates,candidate,Tara Winer,,114,375,219
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007804,804,City of Boulder Council Candidates,candidate,Nicole Speer,,85,375,219
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007804,804,City of Boulder Council Candidates,candidate,Dan Williams,,78,375,219
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007804,804,City of Boulder Council Candidates,candidate,Steve Rosenblum,,106,375,219
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007804,804,City of Boulder Council Candidates,candidate,Jacques Decalo,,25,375,219
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007806,806,City of Boulder Council Candidates,candidate,Michael Christy,,321,1380,674
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007806,806,City of Boulder Council Candidates,candidate,Mark Wallach,,387,1380,674
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007806,806,City of Boulder Council Candidates,candidate,Lauren Folkerts,,294,1380,674
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007806,806,City of Boulder Council Candidates,candidate,Matt Benjamin,,317,1380,674
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007806,806,City of Boulder Council Candidates,candidate,David Takahashi,,139,1380,674
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007806,806,City of Boulder Council Candidates,candidate,Tara Winer,,320,1380,674
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007806,806,City of Boulder Council Candidates,candidate,Nicole Speer,,282,1380,674
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007806,806,City of Boulder Council Candidates,candidate,Dan Williams,,263,1380,674
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007806,806,City of Boulder Council Candidates,candidate,Steve Rosenblum,,294,1380,674
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007806,806,City of Boulder Council Candidates,candidate,Jacques Decalo,,79,1380,674
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007807,807,City of Boulder Council Candidates,candidate,Michael Christy,,353,1188,684
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007807,807,City of Boulder Council Candidates,candidate,Mark Wallach,,405,1188,684
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007807,807,City of Boulder Council Candidates,candidate,Lauren Folkerts,,300,1188,684
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007807,807,City of Boulder Council Candidates,candidate,Matt Benjamin,,312,1188,684
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007807,807,City of Boulder Council Candidates,candidate,David Takahashi,,168,1188,684
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007807,807,City of Boulder Council Candidates,candidate,Tara Winer,,344,1188,684
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007807,807,City of Boulder Council Candidates,candidate,Nicole Speer,,293,1188,684
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007807,807,City of Boulder Council Candidates,candidate,Dan Williams,,262,1188,684
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007807,807,City of Boulder Council Candidates,candidate,Steve Rosenblum,,323,1188,684
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007807,807,City of Boulder Council Candidates,candidate,Jacques Decalo,,77,1188,684
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007808,808,City of Boulder Council Candidates,candidate,Michael Christy,,209,1839,745
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007808,808,City of Boulder Council Candidates,candidate,Mark Wallach,,329,1839,745
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007808,808,City of Boulder Council Candidates,candidate,Lauren Folkerts,,483,1839,745
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007808,808,City of Boulder Council Candidates,candidate,Matt Benjamin,,427,1839,745
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007808,808,City of Boulder Council Candidates,candidate,David Takahashi,,227,1839,745
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007808,808,City of Boulder Council Candidates,candidate,Tara Winer,,248,1839,745
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007808,808,City of Boulder Council Candidates,candidate,Nicole Speer,,484,1839,745
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007808,808,City of Boulder Council Candidates,candidate,Dan Williams,,423,1839,745
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007808,808,City of Boulder Council Candidates,candidate,Steve Rosenblum,,176,1839,745
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007808,808,City of Boulder Council Candidates,candidate,Jacques Decalo,,68,1839,745
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007809,809,City of Boulder Council Candidates,candidate,Michael Christy,,314,1252,747
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007809,809,City of Boulder Council Candidates,candidate,Mark Wallach,,414,1252,747
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007809,809,City of Boulder Council Candidates,candidate,Lauren Folkerts,,362,1252,747
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007809,809,City of Boulder Council Candidates,candidate,Matt Benjamin,,387,1252,747
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007809,809,City of Boulder Council Candidates,candidate,David Takahashi,,190,1252,747
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007809,809,City of Boulder Council Candidates,candidate,Tara Winer,,332,1252,747
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007809,809,City of Boulder Council Candidates,candidate,Nicole Speer,,396,1252,747
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007809,809,City of Boulder Council Candidates,candidate,Dan Williams,,361,1252,747
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007809,809,City of Boulder Council Candidates,candidate,Steve Rosenblum,,299,1252,747
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007809,809,City of Boulder Council Candidates,candidate,Jacques Decalo,,84,1252,747
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007810,810,City of Boulder Council Candidates,candidate,Michael Christy,,298,945,549
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007810,810,City of Boulder Council Candidates,candidate,Mark Wallach,,339,945,549
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007810,810,City of Boulder Council Candidates,candidate,Lauren Folkerts,,224,945,549
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007810,810,City of Boulder Council Candidates,candidate,Matt Benjamin,,246,945,549
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007810,810,City of Boulder Council Candidates,candidate,David Takahashi,,119,945,549
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007810,810,City of Boulder Council Candidates,candidate,Tara Winer,,292,945,549
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007810,810,City of Boulder Council Candidates,candidate,Nicole Speer,,238,945,549
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007810,810,City of Boulder Council Candidates,candidate,Dan Williams,,201,945,549
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007810,810,City of Boulder Council Candidates,candidate,Steve Rosenblum,,254,945,549
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007810,810,City of Boulder Council Candidates,candidate,Jacques Decalo,,81,945,549
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007811,811,City of Boulder Council Candidates,candidate,Michael Christy,,249,776,456
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007811,811,City of Boulder Council Candidates,candidate,Mark Wallach,,271,776,456
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007811,811,City of Boulder Council Candidates,candidate,Lauren Folkerts,,158,776,456
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007811,811,City of Boulder Council Candidates,candidate,Matt Benjamin,,196,776,456
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007811,811,City of Boulder Council Candidates,candidate,David Takahashi,,90,776,456
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007811,811,City of Boulder Council Candidates,candidate,Tara Winer,,251,776,456
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007811,811,City of Boulder Council Candidates,candidate,Nicole Speer,,174,776,456
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007811,811,City of Boulder Council Candidates,candidate,Dan Williams,,158,776,456
2021,2021-11-02,coordinated,boulder_county,county,Boulder County,2181007811,811,City of Boulder Council Candidates,candidate,Steve Rosenblum,,250,776,456
